Sample Name	10H	11H	13H	14H	15H	16H	17H	18H	19H	20H	21H	22H	23H	24H	25H	26H	27H	28H	29H	30H	31H	32H	33H	34H	35H	36H	37H	38H	39H	40H	41H	42H	43H	44H	45H	46H	47H	48H	49H	50H	51H	52H	53H	54H	55H	56H	57H	58H	59H	60H	61H	62H	63H	64H	65H	66H	67H	68H	70H	71H	72H	73H	74H	75H	76H	77H	78H	80H	81H	82H	83H	84H	85H	86H	87H	88H
Acetoacetate (101.0 / 57.0)	279948	55088	152794	377840	284350	227095	215161	310411	253772	256133	193480	95169	224123	244462	356858	379003	360576	375210	159608	136632	62170	94695	48985	39945	327610	172460	197134	190749	259940	85204	76004	54480	38906	79292	231331	156679	209389	496779	168877	341775	120774	302996	112303	166509	279589	254134	187947	152998	189368	530529	130489	233468	79954	168954	206738	326949	142271	403427	284756	115541	145967	145170	291975	371585	214243	178840	198123	294089	102902	116629	108701	128717	211926	353119	312263	198316
Acetylcarnitine (204.1 / 85.0)	8341830	4790020	9255732	7409866	6581635	6647658	4210963	8001833	4740895	4910262	11352663	4247351	16204913	3024321	5113894	5148146	6942188	6426903	3326980	19376734	9623821	8752550	10375073	16333270	12250575	8364289	7727186	6735752	9131264	14462336	7118578	14998450	6835567	8869575	7814709	12223982	9553653	13708756	16978186	12594374	5676269	10064323	13049784	15655382	9560206	9808903	7647465	14910001	25574349	21281806	19177356	20409988	2041946	21086990	13793000	9269938	4793225	24131689	28987014	26152821	19671433	33647287	13193828	11176771	15403127	12655311	23895090	15318190	23626250	27577713	25717576	8461291	7272153	10332315	8088311	11406629
Acetylcholine (146.1 / 87.0)	4718148	227463	662339	1668152	1546554	996088	875893	6360223	5972121	4775654	488750	536522	785538	2334381	2120459	1240723	901946	7579051	5331669	961516	557424	1202048	911374	585561	2682152	3552938	2169486	5320122	8063558	945576	289021	569195	271742	467022	1388620	5644919	2761169	8102586	8241083	11511855	382635	804949	521718	391104	7246554	6595192	4211373	8631845	7244875	12732785	551805	949141	204314	466436	3340963	3545413	2429527	11524737	8238700	1723212	1073907	2286888	4495044	4263393	4071352	3814828	2205864	7506865	2400602	703176	2271583	2327590	1775439	2570824	3703345	8397120
Aconitate (173.0 / 85.0)	382046	333719	150905	663698	717895	679873	667924	502278	416816	421979	386195	548465	270605	351005	459880	481521	562196	562635	442650	232292	136910	226642	101520	99378	677910	942703	487952	456600	603495	399153	222194	289176	169744	165345	1000753	1471525	879116	901244	1363762	1070568	341330	758472	595944	635341	1079162	1022333	875749	1143161	1584575	1217711	1727505	1062376	405655	1143052	1073183	972266	737354	1152873	678649	168983	181298	369278	778396	538461	1170153	1251523	324234	807939	533506	239369	315345	1060855	444961	580520	598787	1378768
Adenine (134.1 / 107.0)	318578	NA	203427	429418	464242	535844	370642	367395	315078	333505	NA	NA	259291	315848	400928	393921	559536	482373	293130	532206	416141	341716	396203	553542	520602	584028	474821	412464	461925	441199	374993	494930	295738	341940	470887	578818	554499	586256	563922	429214	NA	NA	NA	171658	360803	304893	306583	196651	185512	424558	NA	NA	NA	NA	279734	323109	218805	398116	455320	405727	281359	656890	345863	288265	298651	272971	536050	428333	457041	567077	466140	262488	289236	286969	243025	325844
Adenosine (268.1 / 136.1)	1247893	163532	325970	2844752	1552109	1466409	998396	938961	764282	663259	329092	449895	296818	1451262	1150156	1460175	2265229	901672	764503	1263319	1029175	664784	487179	1440161	2186371	1124992	1671463	681959	701084	1618018	756181	1009992	500824	1216526	1577363	2762031	1348264	1946214	1760260	551601	100390	267652	95614	342633	446712	335851	418023	270615	283520	559267	131221	201976	92896	97896	386576	527761	359484	551148	2276575	2577567	1217273	2216749	510203	580705	543603	517401	2398902	1152109	2465318	3418695	2603097	353677	539049	790452	429590	413052
Adenylosuccinate (462.1 / 79.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adipic acid (144.9 / 83.0)	239494	132008	635569	128024	135126	163609	165634	118096	93063	100039	321888	137242	605568	79669	119855	98460	223104	82656	87561	875748	656649	672262	670385	778206	122260	88114	139120	88955	69866	780895	625281	674118	469920	574260	138930	109081	121379	232586	351291	145884	276946	229166	248118	333201	185567	179632	2888474	147662	164170	137640	131997	344478	197220	185185	184206	146606	152429	155546	469146	511689	539373	839186	128905	126145	149837	105119	677245	254104	695671	695375	665563	96017	101456	157840	134629	128425
ADP (426.0 / 134.0)	1008008	53104	53840	620349	433048	550616	357195	1657929	1365245	1757449	100989	49500	191316	558808	479577	542490	590192	1726732	1067963	322617	115451	60462	58141	164905	892008	710174	605886	1598558	1985746	288308	157204	150469	85379	171861	460480	1030933	484283	1948968	1984998	2526239	32690	36328	17680	53222	354828	359553	337848	1381866	1000844	2910750	33826	72386	24377	53350	377196	346185	338472	2341436	1370669	115542	87572	131793	317546	302460	621696	593406	704412	1456409	258886	203904	261360	365986	167538	322974	262633	2559498
Agmatine (131.0 / 72.0)	45822	63381	68040	82408	54375	56426	57010	65873	55094	100008	155753	95409	131411	87105	110113	50035	266950	82957	98333	167111	84894	116283	76205	155967	184682	222394	153361	106032	111530	54231	30470	50186	44244	42868	81041	186181	45910	49665	144101	90450	43905	156237	80140	79407	111005	100238	61331	94414	121625	222325	239999	164103	150662	117557	171435	132648	106306	204288	143071	97593	110554	110471	121822	95826	203221	169369	147905	115716	107712	125280	122818	77690	40014	85676	82878	137135
Alanine (90.0 / 44.0)	53515127	40984517	48343673	48937744	44771782	48244582	40100424	41770233	36146875	40604236	49065813	47725647	58455941	36249472	47358463	45141790	49872411	45744916	51565920	66935771	59146385	60342699	57432734	65202755	53975135	53827726	49185359	43270453	44916030	71108388	58453433	68048400	53526779	55229933	51652701	55841477	54329992	62416513	67726078	42274499	25623142	57508092	33922979	31371327	40675746	41745507	32453859	35356738	45886956	51272788	47762653	46836655	28922442	36590296	32502901	40794246	26910120	47321796	59267291	62374994	50979296	75101976	39575265	38565921	45208416	40725931	64472845	51495156	70143798	73753209	71256378	34192281	34716214	41023243	38177166	41312573
Allantoin (157.0 / 114.0)	282111	271187	157768	505576	163062	641401	99084	123193	177302	123170	344439	358848	172273	112992	1262533	244116	528708	613145	211580	418946	178180	355117	142044	124827	139815	154429	206364	177781	147263	132611	86418	282356	110015	132117	99329	139069	185203	190970	183519	332523	179048	586481	333886	320832	267184	404940	220275	429375	496461	390880	764270	509439	990312	447257	309585	648619	1040480	509591	397337	375695	305144	596755	260255	250821	753446	469102	834913	582587	605108	559499	1293352	261710	199418	273418	322794	737301
Allopurinol (135.0 / 64.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alpha-Ketoglutarate (145.0 / 101.0)	2164705	505815	1890651	2974125	3382818	3405164	2207755	3365340	2786756	2231534	987533	490427	1980675	1741746	2451640	2098713	2158098	2346822	1656201	805438	619066	747969	493928	249328	2291557	2529733	2051000	1890412	2062384	980758	515275	637939	1207747	736152	2478269	3347936	2261475	3002014	2604934	2436071	669873	921702	815346	897470	2329607	2449973	2163209	1846323	1597430	3372362	566151	1038257	277758	923585	2366786	2211486	1911587	2776382	1884304	818942	1169103	1235008	2103942	1968467	2928813	2678360	1801856	2177101	1449572	1257467	990980	1952650	1441777	1630715	1680531	2598618
Beta-Aminoisobutyrate (104.1 / 86.0)	293175	190547	208964	304136	326863	368609	315890	296327	248762	345130	192668	161669	277114	233164	309574	301464	360086	305578	275520	445826	382358	388027	286745	366929	377453	432291	356127	292555	350027	433633	334178	421810	320990	338224	439101	556906	412430	438070	569639	401318	88280	175280	124252	105484	346182	369290	321157	307919	282536	490267	137068	190153	65798	127051	314577	353654	284128	435093	408619	360211	269975	527778	329696	321429	432388	393034	462224	455856	511211	498104	421323	357138	275492	323966	296685	474014
AMP (346.1 / 79.0)	18476284	1008816	13218119	25958097	28400135	32251462	25036460	25619062	20011446	23795153	5412727	2485467	15746734	21285482	26143903	25618801	30090504	26403789	16976392	33931475	29781234	20695967	25499846	31231404	33277911	34637406	27432996	24142774	28615998	30661233	22621128	31797619	19780077	19417537	32418931	43734273	32888424	37974771	41111168	28512224	5579366	4830778	4229494	10108978	23395514	23182085	20632244	14482277	12954876	30806683	2562571	4709548	988966	1930544	19863173	23681914	16960821	24980645	35460036	28137587	19468463	43513115	22894050	20623427	26002564	21775307	40980586	32065237	36808107	37580019	39565227	17909307	17193861	20058654	18937219	23053059
Anthranilate (136.0 / 118.0)	189303	128832	191852	190483	165956	192392	109192	202485	150541	139693	184260	162821	221929	122516	168680	136990	197033	210212	163615	251092	197912	148103	156798	193469	229524	221095	196337	188067	204179	224448	165806	203844	175381	156695	179680	224104	194538	259657	283112	249811	111482	259459	147496	129711	244986	253804	206880	193755	221971	325453	179466	207639	81573	160460	195134	204599	177918	314844	320302	260074	207154	368065	206389	186337	300394	298008	317384	241176	342809	294426	291889	212755	140436	206482	176528	251594
Arachidonate (303.3 / 59.0)	173362	102453	202096	197668	213998	218656	152736	47536	123677	134823	156171	121361	242309	132998	204554	197093	194841	181684	167246	278851	196691	178391	209561	235119	187707	184361	191707	126833	148812	202495	151725	175129	94958	199119	171479	227223	230958	227822	200181	176967	106785	263538	138722	128051	184315	181688	151860	159741	143167	142307	186374	227102	92545	164753	120046	162508	125455	159131	122167	165035	142936	258783	164324	143212	149480	188799	165828	67609	123471	172488	77135	134665	136947	70672	72150	41251
Arginine (175.1 / 70.0)	59645962	37720221	58045217	54662464	57947479	59884063	53345267	58956328	52402360	51268518	52658895	46078788	67613831	46161780	50821488	51989373	59029544	55227975	51192362	66224092	56947569	56304723	52806346	59693561	64448226	64374580	57099959	50462404	59109311	63130085	52902259	57823943	43523117	52117018	58682704	69817220	60919474	73063597	74044030	66964243	33487934	63167151	42375935	38702775	62392980	64278537	56270895	57994333	65055810	73629110	55042685	57385613	29534015	48268701	59290917	61999061	52522919	65921962	69180435	63749533	55631280	79644489	59177038	53570890	69303217	67312772	77228801	68294747	74137124	75171629	74681544	58024785	49676387	56281392	57478737	70246598
Ascorbate (175.0 / 87.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11750	NA	NA	NA	9958	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9786	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Asparagine (133.1 / 74.0)	2069160	1729193	1841629	2309283	2226647	1934646	1386006	2011948	1787352	1667561	1408872	1273267	1783233	1298311	1872100	1615599	1777051	1843651	1622514	1070487	1064798	935519	795670	698608	1635003	1767402	1492388	1267484	1325928	1638543	913122	863776	1794872	988700	1941811	2208113	2125846	2511537	2198860	1835007	569976	1516975	955083	881768	1439673	1604817	1478065	1382898	1597120	2402348	1401432	1325919	687177	1075061	1510732	2087435	1263400	2043020	2035558	1590732	1551302	2088704	1694534	1555297	2187225	1936714	2297403	1950912	2548983	2031706	1981915	1524618	1094353	1519631	1460784	2068066
Aspartate (134.1 / 74.0)	197053	73568	94029	383659	515500	508791	252162	207937	318923	311120	62084	52411	92630	138394	483401	284186	455268	191786	345911	296700	285070	410030	137564	206570	299511	270765	328060	313406	254056	586199	381879	545014	912452	351715	485347	5002196	445152	254851	1840306	1018417	47106	77820	81209	75691	686304	772133	2738716	3310208	2461420	1159107	61536	88534	94051	89032	2586103	394305	1405100	840517	286891	144840	133517	279082	121071	146620	1982713	1965243	236476	253067	239963	254075	326685	2320206	397318	539385	134911	4695011
