Sample Name	10H	11H	13H	14H	15H	16H	17H	18H	19H	20H	21H	22H	23H	24H	25H	26H	27H	28H	29H	30H	31H	32H	33H	34H	35H	36H	37H	38H	39H	40H	41H	42H	43H	44H	45H	46H	47H	48H	49H	50H	51H	52H	53H	54H	55H	56H	57H	58H	59H	60H	61H	62H	63H	64H	65H	66H	67H	68H	70H	71H	72H	73H	74H	75H	76H	77H	78H	80H	81H	82H	83H	84H	85H	86H	87H	88H
Glyceraldehyde (89.0 / 59.0)	696608	382369	1066947	2206731	411954	892682	635858	435144	545406	195045	734032	541955	1123292	210133	1813118	331012	1108829	1733048	273788	1488179	950187	1070531	812451	1091140	363506	395286	410835	314666	424989	1338637	735876	1264249	1005729	842947	431255	582621	758223	983894	999554	593052	392573	661315	425178	334999	483379	507101	338468	479405	581464	309516	666522	648904	263417	591065	189372	388927	737921	477021	800206	1455966	880650	1900009	214807	323686	281627	185766	1677180	824135	1715581	1787550	1988036	470707	320809	654115	507211	488034
Glycerate (105.0 / 75.0)	445722	362175	464262	481906	474741	535753	497170	461596	423039	479637	364591	347324	468449	357658	475524	430707	558925	512642	410551	524064	371222	485787	374679	401459	516490	446575	476809	435220	426624	477866	353504	361488	261932	353871	499523	628668	508688	606180	608988	452656	186305	352248	201135	178089	376267	399349	332738	340988	413685	493185	313512	337720	155424	287131	358418	394761	294511	474650	444334	425249	335217	564364	389093	362147	514323	477369	487778	412021	546371	503652	540188	363555	277187	337518	313140	484714
Glycerol (93.0 / 75.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Glycerol 3-phosphate (171.0 / 79.0)	6323483	823859	18208033	4217211	3532000	4153037	3352568	3261468	2331151	2734948	8926248	2035561	19241580	2323551	3392004	3222751	5381366	2857826	2286904	609877	723205	326600	255728	326718	4260134	2893234	3095423	1824284	2221556	942798	304657	357707	259225	512956	2668006	1829780	3267023	4986694	2066288	3135261	3316378	7592962	4057531	3802219	2354414	2546358	2359483	5314442	5366138	4892349	4915088	10107338	690214	7553848	3038167	3285147	2473944	5876719	3281218	2367986	2245604	2835252	2188307	2385835	4497735	3589780	2251207	3067516	2339279	2344066	2474072	2796657	2134556	2782456	1748012	4636120
Glycine (76.0 / 30.1)	238601	175237	244907	232197	181262	205254	165685	174922	129406	192835	262435	293177	330384	215013	279211	260241	334037	252254	257779	388221	317968	359732	320814	376856	364271	303880	268228	224518	276679	370422	305286	332093	205272	259501	222965	272565	240649	356148	336162	212001	126558	288187	172144	154372	185765	192452	137447	164945	242917	288910	243569	257282	135558	206231	170337	241532	127651	258771	405476	415479	322410	638051	206065	214834	270759	233087	457630	301329	492092	543498	479020	155049	136596	151091	154023	190148
Glycochenodeoxycholate (448.3 / 74.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Glycocholate (464.3 / 74.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GMP (364.1 / 151.8)	953994	104543	471627	1172364	1065526	1221710	1113015	1196095	1221975	1078298	301371	211536	593298	1036822	951582	971276	1488306	1496922	758660	1179196	887377	1016775	719726	959620	1710645	1541372	1333813	1318972	1260880	1147434	952797	864332	592893	838196	1487014	1989089	1541202	2085639	1875695	1582627	213658	354470	203253	216515	1118681	1009179	869458	778648	733142	1807195	275688	395059	145586	252275	794349	1054573	762710	1382670	1415370	604474	542847	963405	994548	945503	1171582	1046479	1449872	1551689	1253127	1556886	1248554	802370	789430	1128992	1018985	1278057
GTP (522.0 / 159.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Guanidinoacetate (116.0 / 74.0 (2))	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Guanosine (284.0 / 152.1)	828084	1058976	733274	747118	874488	528770	524790	328218	310196	199398	1261789	946151	954151	275099	339367	430887	448992	213893	506242	415049	328622	382122	225546	234063	574867	458982	547772	213891	213676	519374	299684	300515	238732	358448	549159	720691	471516	487097	603918	5314625	2447280	4793699	3008992	3402423	5343792	4877648	5512031	5600948	5690265	5566626	5208996	5037094	3272550	5620199	4304089	5567782	5977495	5318067	3442800	2401280	2104161	2247663	4437380	3955616	4262876	4840068	2721380	3456280	3494013	3500568	3233736	3908465	3714787	4213287	4911637	3845027
Histamine (112.0 / 95.0)	8613496	8270748	6445789	5226085	4621523	5901607	4501221	4361649	3911734	4035420	10121151	8602263	8595168	3331682	5623838	4299459	4913442	4926186	8113345	6444467	5031101	4905675	3602286	5471747	5770441	5434575	4524346	4233304	4514965	6389178	4124975	5105869	3823132	4697807	6241100	9414970	5902522	7499211	8455226	6395210	6374069	21631560	13382716	13211045	6123376	6405224	5012875	9807958	18832716	9125746	23369834	17387542	11503289	17137405	5566854	5443524	3825058	10347525	7501234	5178743	4742609	8029074	4757070	4590936	6762095	6369665	6646421	5686937	7475900	7634388	7000847	4844562	3402676	4916806	4199570	6678303
Histidine (156.1 / 110.0)	76032348	52411208	78454015	71503714	69596830	72312118	53558881	64614401	54984032	59801468	75072537	57634580	86850873	47072543	72924908	56250732	68819195	65665397	64684205	94937113	77944447	72562257	62256719	79398913	88353758	80239216	70940125	65341908	77996839	94790457	65348173	82419945	61335296	68451726	75329311	89389145	84240331	100923368	107770066	105025399	41980307	95152780	57412165	52032066	93569050	99815791	76418641	81483545	96360053	126638508	79602845	80161300	38226095	67693999	82942244	95087872	72336181	120694907	126442884	111906791	76508516	145800009	92367956	85660649	116208108	111215972	124784940	106337271	137320782	123114731	127439368	81746435	60052676	82469370	68190315	103763542
Homocysteine (136.0 / 90.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Homogentisate (167.0 / 123.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Homoserine (120.1 / 74.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Homovanilate (181.0 / 137.0)	110088	124923	138115	92918	141215	125005	94144	137476	119616	119732	177855	98714	143292	108619	100676	133688	114486	132363	132284	128978	152477	134556	114811	109268	122536	119403	157435	94310	106427	191486	132430	126376	153871	119589	134114	145122	115896	119281	175349	113595	109838	161934	132514	155813	107703	88719	104192	119192	148563	107003	161433	148923	122713	156919	132249	115712	131591	150244	200283	208557	163193	137077	112056	108529	158209	120087	253123	187683	207162	265865	235665	160203	86718	138013	128053	171515
Hydroxyproline/Aminolevulinate (132.1 / 86.2)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hypoxanthine (135.0 / 92.0)	3904679	6829020	12373120	891916	231101	318258	28480	46768	39752	141278	10162370	7789284	15253604	25803	134072	51737	113729	613522	2274815	18824656	8795664	9367031	10740902	13415986	23354	27550	30375	184142	45397	14170598	9250708	15880814	10374402	11345742	502593	133588	38895	367113	6923184	31224	6414222	12649654	7358665	8815813	38507	79508	41150	2411125	7328607	517393	11854173	11823193	4877778	9509916	82509	74172	936044	1624574	7471483	13983733	9657063	19857495	42994	51851	94631	62214	12547484	2083460	13695276	18994484	18118785	27198	55887	61385	61114	88646
Hippurate (178.0 / 134.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IMP (347.0 / 79.0)	4275465	1308678	8366331	3293071	2627163	2731872	2662170	2815508	2223222	2471388	4647465	3393808	11369757	2405231	3496293	3572734	3369584	3069295	2812791	12760451	9693669	10948043	7773774	9085616	4111271	3004060	2926863	2508503	2798222	11434419	8446057	8687079	5736166	7630530	3339304	2932344	3512285	4727047	7025912	2784430	3296568	6926131	3562315	3006629	2518043	2508785	1627623	2861367	4466167	3528853	4577662	6744948	2604640	4217171	1674239	2762654	1518193	3761466	5693110	4858912	5124183	8812660	2579030	2222853	2083486	1979250	9423888	4041992	8625637	9974084	8293194	1615754	1896074	2377481	2161990	2069564
Inosine (269.0 / 137.1)	11263365	13034129	16658735	1372242	1312997	738203	492235	649072	744590	728277	22540840	15356072	23234534	377493	823240	743127	608085	494982	6838738	6085065	4605995	4116933	3951717	3391466	810098	591379	554139	765295	590123	6028087	4199794	3990622	4039288	4082758	850758	732382	1048986	1214798	3341193	934915	9159163	20306786	12982811	12502459	861882	848631	820227	6531398	15165211	2039497	19950542	19398936	9280886	17994210	799114	1009641	908116	5976337	4645970	4751042	5711136	5847750	865581	896621	967045	955969	6217106	1710243	7260288	6617342	5758764	701015	810195	1171585	855100	701606
Inositol (179.0 / 87.0)	2144262	838128	2531293	2548826	2424204	3041821	2629917	2394210	2111749	2247623	1601387	1030176	2793025	1913054	2534300	2279392	2656868	2495048	1934955	2758941	2098050	2456374	1465179	1736672	2816655	3115698	2644167	2216365	2421396	2248971	1874040	1856317	1382492	1878045	2515803	3734616	2679358	3350013	3379840	2564320	869961	1745583	1044651	933209	2563740	2516080	2195327	1872006	1703304	2990201	946615	1578581	472358	1000824	2190705	2132215	2078567	2664427	1980427	1473751	1776163	2074205	1950075	1644884	2303522	2306308	2225490	1940106	2131380	2358466	1829996	1978317	1455663	1730262	1647007	2497463
Isoleucine (132.1 / 86.0 (2))	1387705	1489737	1767869	1180487	924530	1067869	764722	969467	779941	737970	1754805	1396337	2086433	537797	866839	779287	1070811	1054286	1056832	2128185	1789294	1928666	1578527	2150544	1353273	1204068	1071261	965451	972673	2736026	1835131	2363497	1654955	1603764	1153001	1552947	1218795	1500844	2095685	1432272	1142852	2283154	1385257	1688365	1344853	1274183	1182470	1443388	2004736	2019963	2346979	2293030	963001	1904986	1226131	1310606	1264393	1775806	3038891	3142467	2452864	4497058	1715729	1612395	2096487	2000109	3134791	1741083	3769390	3656101	3045521	1252847	1105671	1429887	1220011	1859953
Isobutyrate (87.0 / 42.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Isovalerate (101.0 / 83.0)	525749	488073	510885	337960	293127	244993	210485	345007	269272	191552	603575	456874	573204	245888	301685	347954	318425	280267	373335	517608	434217	403954	435470	455434	273087	226138	206861	230306	244287	540362	399235	490725	415631	391859	296255	276289	353923	373828	445292	284388	350790	821706	483204	493041	297099	278119	172683	365512	669405	361509	903117	616832	442656	540883	155798	284905	160568	373114	456419	511854	465663	700416	294665	230778	210171	206386	644767	366529	657663	630061	551344	160380	240145	271985	234141	169370
Kynurenate (188.0 / 143.8)	792496	992009	913517	882098	985970	986660	1093638	800260	767667	967992	921449	1058718	828337	935478	898577	846877	872500	938039	877741	914453	925181	932925	888342	829759	809442	933386	891372	877775	847776	884807	1061457	1005366	1103689	933485	922353	936872	964804	990728	869133	991827	1018174	923909	976165	1028992	1094709	970728	1090386	1042302	930565	933207	1064463	877847	1090613	985702	1018572	1033609	1096601	1008793	894932	935873	856803	1008013	966116	937910	1002956	929277	887062	961240	1000068	936350	993528	1089382	1014362	863665	986481	900766
L-Kynurenine (209.1 / 94.0)	51185	33018	38320	60968	56022	60795	49832	52694	58119	34010	29781	15774	13048	25408	73101	32293	54776	39778	26143	24574	16559	39361	15690	16756	27490	26884	27687	28282	32695	37819	35613	55002	52066	44718	42713	50078	73045	77255	59346	46661	18325	44360	29985	23951	49774	53106	33710	43944	44344	66652	35935	33337	28751	30615	50689	37279	27491	51625	42382	29156	21369	51174	36499	46436	73716	65790	53101	57062	80954	56878	75808	55479	31656	46590	59373	80062
Lactate (89.0 / 43.0)	4428563	3381704	11211222	2762509	2376756	2477347	2073392	1327612	2338857	2409996	6308915	4040056	12038743	2285516	2767667	2390410	2371987	2241741	3048342	14390861	10811133	8752824	8195933	12368708	2462828	2043221	2626858	2166914	2492968	10323859	7123276	10175204	7117492	7351561	2427448	2049105	2817570	4088446	5042131	2181677	3855418	5920770	3261293	3472492	2540453	2132751	2033154	2263235	2372011	2162448	3579403	5192909	2703575	3396300	1572083	2657263	2222418	2730836	8035658	12988194	8193910	16415930	2434133	2720482	1902679	1713703	8800923	4343550	10426804	12712466	15086900	1562159	2753362	3115421	2784069	1525518
Lactose (341.0 / 59.0)	19819149	1316935	834687	29451041	40376531	44948538	46580851	37808368	27336022	46312625	1116662	1408736	795150	20448614	27477531	22912265	43182708	28481591	36830711	849814	879134	1435751	865349	875342	30026320	44773148	39857304	28187632	28723666	1165905	822702	937430	883173	3557823	46591356	56384495	42799741	42352126	48032089	58501209	765706	2248464	1125047	1150492	50685958	56242394	54223705	47982546	34053263	63456052	2877058	1281307	1972297	1263136	61278524	48540960	53150021	58279424	37139875	1410376	1867454	2616612	47153190	42066085	69880509	68518073	3586303	46187379	2154161	1426065	1662918	63526092	34742782	46591725	38880474	75821938
Leucine (132.1 / 86.0)	2314209	2496349	3467812	1781345	1295746	1539055	1107308	957876	868634	986768	3236037	2307600	4223330	756495	1323426	1102411	2491552	1484866	1583726	3359700	2615603	2860867	2320241	3224057	1911262	1704150	1619542	1398548	1428483	4045698	2920466	3642736	2386781	2518306	1731077	2198772	1722123	2269477	3264150	1911328	1893477	4220391	2842870	2941929	1764228	1675241	1523850	2116176	3503158	2595493	4170116	4139060	1957164	3673059	1549173	1640468	2005484	2505851	4303438	4926898	3889366	6932794	2412987	2246035	2533016	2768106	4879441	2542940	5553688	5913773	5204246	1815875	1464210	1842372	1679642	2408124
Linoleate (277.1 / 259.0)	278689	194349	592981	81864	48805	64299	44393	41348	42258	41334	412062	269860	780169	33984	55302	46177	71008	75430	131135	278087	180198	236124	170332	155620	18486	22144	32422	24144	21540	259464	208156	213526	222207	241759	29614	30034	21849	73383	163738	33638	233936	536372	339685	211456	37059	44671	37904	133537	282234	46490	292137	436051	159576	356066	31290	38834	71300	108835	101673	116491	152230	161618	14677	19007	13254	19022	149574	42169	174824	168993	175321	12548	20057	18172	12168	13513
Linolenate (279.1 / 261.0)	1809285	1180502	3738795	544073	261354	325457	223595	180572	144747	251986	2889000	1794244	4539491	162269	232277	169193	324421	468685	892736	1137404	837738	1085772	730722	794504	133606	107362	110992	125161	114812	1282952	867221	940764	975822	1054190	168950	158750	139610	425373	779099	175832	1547021	3928692	1931657	1824462	161529	185707	117041	881662	1739750	248853	1958321	3076165	1187100	2434014	155016	187650	322628	725541	513665	606800	821649	993691	85007	84689	88811	75597	629272	252307	993083	727482	865489	56065	73970	150327	81715	89019
Lysine (147.1 / 84.0 (2))	14996155	14855348	13349906	18476191	20774110	17705279	14859350	16234857	18111560	11922328	5515521	6817949	7501312	8561750	16030692	8616258	15277487	12214387	9695096	7357206	4421871	6972015	4445011	5353713	6710293	7133778	7316465	5184879	5793627	12236137	7424937	10111893	12583018	7603586	8880873	8505649	12536945	14422234	12758262	4955869	2258113	5737605	3003436	3114786	5266241	5812756	4433173	4856625	6517200	6764576	5154650	4344163	2171205	3535444	5091540	4727444	4384523	6123962	5555784	5404924	4271865	8175200	4064055	3630103	6746423	5265965	7948052	5512847	8836208	7014880	7357715	5867119	3271187	5693129	4874947	6625659
Malate (133.0 / 115.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Maleate (115.0 / 71.0 (2))	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Malonate (103.0 / 41.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Malondialdehyde (71.0 / 41.0)	1538513	1547643	1573197	1074296	869908	707849	577392	1084779	841068	610445	1687543	1327971	2018292	779919	977991	1058660	940592	888663	1066587	1484778	1414216	1346424	1327188	1476945	940511	685341	720247	670217	726922	1749296	1253155	1446927	1295454	1226130	966383	869270	1050507	1300748	1345826	889383	1098299	2441204	1379236	1582756	848169	867283	554478	1155573	1912028	1191535	2673913	1987332	1442029	1758202	514765	854835	498359	1276114	1517102	1568990	1400071	2200285	896230	788668	663910	584874	1953735	1107442	1875674	1891235	1875886	504758	755230	932066	799968	528010
Mannose (181.0 / 99.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Margaric acid (269.1 / 251.3)	328562	508935	581754	62118	59008	53184	45844	41648	42202	59813	581982	401949	534741	38109	53601	63340	56556	64582	237131	773073	627888	672385	397165	487490	54939	31573	51628	48370	38428	704460	569027	584563	541026	636123	80164	50211	45144	52527	340629	47513	214125	562537	354906	323800	34596	25593	67029	104998	261614	45634	508841	520995	333223	340685	32007	51255	95116	114102	339707	476247	468059	621989	36028	40245	40466	23945	447419	121389	624333	662012	578237	24345	47469	56695	35234	35253
Melatonin (231.1 / 58.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Methionine (150.1 / 61.0)	524585	338198	529371	593903	533121	569763	445612	514329	482423	393559	447971	383389	625563	341947	570472	414995	662922	512511	446340	903386	644743	699513	560818	832396	509173	526510	491586	399428	468691	825458	614001	747977	605801	636921	581851	677397	669109	828002	896722	555402	211379	433780	272601	352985	452534	477642	401481	430868	582476	709057	521667	431046	209695	433117	421499	499800	349888	635817	807710	788617	581347	957548	399633	419416	545368	462836	960867	539149	804510	831077	788589	382348	329661	383006	384395	544829
Methyl-OH-isobutyrate (117.0 / 85.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Methylmalonate (117.0 / 73.0 (2))	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Methylsuccinate (131.0 / 69.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mevalonate (147.1 / 59.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Myristic acid (227.1 / 209.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
N-Acetylglycine (116.0 / 74.0)	77712	122263	64963	50216	38988	55662	42310	30393	47336	71890	150402	97467	96797	37057	62564	50675	61533	62206	99479	202789	53502	247015	93034	102627	57941	56531	58571	45010	58240	87217	64088	73416	58711	70502	57471	53481	44054	210606	88552	26006	49782	104641	64636	68891	33670	50539	37857	61913	84853	82080	120835	92031	68473	87073	41005	60246	54565	67647	41515	53585	53689	91927	27426	71098	45704	54331	81333	61350	72550	80285	107803	47194	20988	39832	53067	31981
N-Acetylneuraminate (308.1 / 87.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
N-Acetylputrescine (131.1 / 114.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
N-Carbamoyl-beta-alanine (131.1 / 115.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
